,epoch,corrects,acc_total
182,182,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
183,183,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
184,184,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
185,185,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
186,186,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
187,187,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
188,188,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
189,189,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
190,190,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
191,191,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
192,192,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
193,193,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
194,194,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
195,195,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
196,196,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9865971803665161
197,197,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
198,198,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
199,199,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
200,200,"tensor([1., 1., 1.,  ..., 1., 1., 1.], device='cuda:0')",0.9858525991439819
